Sample	Mouse_Model	Condition	Sex	Genotype	Drug	Batch	Group
G2b_HLM_5	Grin2b	HLM	Male	Mutant	Lithium	B1	Group2
G2b_HvF_1	Grin2b	HvF	Female	Mutant	Vehicle	B1	Group2
G2b_HvF_2	Grin2b	HvF	Female	Mutant	Vehicle	B1	Group2
G2b_HvF_3	Grin2b	HvF	Female	Mutant	Vehicle	B1	Group2
G2b_HvF_4	Grin2b	HvF	Female	Mutant	Vehicle	B1	Group2
G2b_HvF_5	Grin2b	HvF	Female	Mutant	Vehicle	B1	Group2
G2b_HvM_1	Grin2b	HvM	Male	Mutant	Vehicle	B1	Group2
G2b_HvM_2	Grin2b	HvM	Male	Mutant	Vehicle	B1	Group2
G2b_HvM_3	Grin2b	HvM	Male	Mutant	Vehicle	B1	Group2
G2b_HvM_4	Grin2b	HvM	Male	Mutant	Vehicle	B1	Group2
G2b_HvM_5	Grin2b	HvM	Male	Mutant	Vehicle	B1	Group2
G2b_WfF_1	Grin2b	WfF	Female	Wildtype	Fluoxetine	B1	Group2
G2b_WfF_2	Grin2b	WfF	Female	Wildtype	Fluoxetine	B1	Group2
G2b_WfF_3	Grin2b	WfF	Female	Wildtype	Fluoxetine	B1	Group2
G2b_WfF_4	Grin2b	WfF	Female	Wildtype	Fluoxetine	B1	Group2
G2b_WfF_5	Grin2b	WfF	Female	Wildtype	Fluoxetine	B1	Group2
G2b_WfM_1	Grin2b	WfM	Male	Wildtype	Fluoxetine	B1	Group2
G2b_WfM_2	Grin2b	WfM	Male	Wildtype	Fluoxetine	B1	Group2
G2b_WfM_3	Grin2b	WfM	Male	Wildtype	Fluoxetine	B1	Group2
G2b_WfM_4	Grin2b	WfM	Male	Wildtype	Fluoxetine	B1	Group2
G2b_WfM_5	Grin2b	WfM	Male	Wildtype	Fluoxetine	B1	Group2
G2b_WLF_1	Grin2b	WLF	Female	Wildtype	Lithium	B1	Group2
G2b_WLF_2	Grin2b	WLF	Female	Wildtype	Lithium	B1	Group2
G2b_WLF_3	Grin2b	WLF	Female	Wildtype	Lithium	B1	Group2
G2b_WLF_4	Grin2b	WLF	Female	Wildtype	Lithium	B1	Group2
G2b_WLF_5	Grin2b	WLF	Female	Wildtype	Lithium	B1	Group2
G2b_WLM_1	Grin2b	WLM	Male	Wildtype	Lithium	B1	Group2
G2b_WLM_2	Grin2b	WLM	Male	Wildtype	Lithium	B1	Group2
G2b_WLM_3	Grin2b	WLM	Male	Wildtype	Lithium	B1	Group2
G2b_WLM_4	Grin2b	WLM	Male	Wildtype	Lithium	B1	Group2
G2b_WLM_5	Grin2b	WLM	Male	Wildtype	Lithium	B1	Group2
G2b_WvF_1	Grin2b	WvF	Female	Wildtype	Vehicle	B1	Group2
G2b_WvF_2	Grin2b	WvF	Female	Wildtype	Vehicle	B1	Group2
G2b_WvF_3	Grin2b	WvF	Female	Wildtype	Vehicle	B1	Group2
G2b_WvF_4	Grin2b	WvF	Female	Wildtype	Vehicle	B1	Group2
G2b_WvF_5	Grin2b	WvF	Female	Wildtype	Vehicle	B1	Group2
G2b_WvM_1	Grin2b	WvM	Male	Wildtype	Vehicle	B1	Group2
G2b_WvM_2	Grin2b	WvM	Male	Wildtype	Vehicle	B1	Group2
G2b_WvM_3	Grin2b	WvM	Male	Wildtype	Vehicle	B1	Group2
G2b_WvM_4	Grin2b	WvM	Male	Wildtype	Vehicle	B1	Group2
G2b_WvM_5	Grin2b	WvM	Male	Wildtype	Vehicle	B1	Group2
K5B_HfF_1	Kmt5b	HfF	Female	Mutant	Fluoxetine	B5	Group1
K5B_HfF_2	Kmt5b	HfF	Female	Mutant	Fluoxetine	B5	Group1
K5B_HfF_3	Kmt5b	HfF	Female	Mutant	Fluoxetine	B5	Group1
K5B_HfF_4	Kmt5b	HfF	Female	Mutant	Fluoxetine	B5	Group1
K5B_HfF_5	Kmt5b	HfF	Female	Mutant	Fluoxetine	B5	Group1
K5B_HfM_1	Kmt5b	HfM	Male	Mutant	Fluoxetine	B5	Group1
K5B_HfM_2	Kmt5b	HfM	Male	Mutant	Fluoxetine	B5	Group1
K5B_HfM_3	Kmt5b	HfM	Male	Mutant	Fluoxetine	B5	Group1
K5B_HfM_4	Kmt5b	HfM	Male	Mutant	Fluoxetine	B5	Group1
K5B_HfM_5	Kmt5b	HfM	Male	Mutant	Fluoxetine	B5	Group1
K5B_HLF_1	Kmt5b	HLF	Female	Mutant	Lithium	B5	Group1
K5B_HLF_2	Kmt5b	HLF	Female	Mutant	Lithium	B5	Group1
K5B_HLF_3	Kmt5b	HLF	Female	Mutant	Lithium	B5	Group1
K5B_HLF_4	Kmt5b	HLF	Female	Mutant	Lithium	B5	Group1
K5B_HLF_5	Kmt5b	HLF	Female	Mutant	Lithium	B5	Group1
K5B_HLM_1	Kmt5b	HLM	Male	Mutant	Lithium	B5	Group1
K5B_HLM_2	Kmt5b	HLM	Male	Mutant	Lithium	B5	Group1
K5B_HLM_3	Kmt5b	HLM	Male	Mutant	Lithium	B5	Group1
K5B_HLM_4	Kmt5b	HLM	Male	Mutant	Lithium	B5	Group1
K5B_HLM_5	Kmt5b	HLM	Male	Mutant	Lithium	B5	Group1
K5B_HvF_1	Kmt5b	HvF	Female	Mutant	Vehicle	B5	Group1
K5B_HvF_2	Kmt5b	HvF	Female	Mutant	Vehicle	B5	Group1
K5B_HvF_3	Kmt5b	HvF	Female	Mutant	Vehicle	B5	Group1
K5B_HvF_4	Kmt5b	HvF	Female	Mutant	Vehicle	B5	Group1
K5B_HvF_5	Kmt5b	HvF	Female	Mutant	Vehicle	B5	Group1
K5B_HvM_1	Kmt5b	HvM	Male	Mutant	Vehicle	B5	Group1
K5B_HvM_2	Kmt5b	HvM	Male	Mutant	Vehicle	B5	Group1
K5B_HvM_3	Kmt5b	HvM	Male	Mutant	Vehicle	B5	Group1
K5B_HvM_4	Kmt5b	HvM	Male	Mutant	Vehicle	B5	Group1
K5B_HvM_5	Kmt5b	HvM	Male	Mutant	Vehicle	B5	Group1
K5B_WfF_1	Kmt5b	WfF	Female	Wildtype	Fluoxetine	B5	Group1
K5B_WfF_2	Kmt5b	WfF	Female	Wildtype	Fluoxetine	B5	Group1
K5B_WfF_3	Kmt5b	WfF	Female	Wildtype	Fluoxetine	B5	Group1
K5B_WfF_4	Kmt5b	WfF	Female	Wildtype	Fluoxetine	B5	Group1
K5B_WfF_5	Kmt5b	WfF	Female	Wildtype	Fluoxetine	B5	Group1
K5B_WfM_1	Kmt5b	WfM	Male	Wildtype	Fluoxetine	B5	Group1
K5B_WfM_2	Kmt5b	WfM	Male	Wildtype	Fluoxetine	B5	Group1
K5B_WfM_3	Kmt5b	WfM	Male	Wildtype	Fluoxetine	B5	Group1
K5B_WfM_4	Kmt5b	WfM	Male	Wildtype	Fluoxetine	B5	Group1
K5B_WfM_5	Kmt5b	WfM	Male	Wildtype	Fluoxetine	B5	Group1
K5B_WLF_1	Kmt5b	WLF	Female	Wildtype	Lithium	B5	Group1
K5B_WLF_2	Kmt5b	WLF	Female	Wildtype	Lithium	B5	Group1
K5B_WLF_3	Kmt5b	WLF	Female	Wildtype	Lithium	B5	Group1
K5B_WLF_4	Kmt5b	WLF	Female	Wildtype	Lithium	B5	Group1
K5B_WLM_1	Kmt5b	WLM	Male	Wildtype	Lithium	B5	Group1
K5B_WLM_2	Kmt5b	WLM	Male	Wildtype	Lithium	B5	Group1
K5B_WLM_3	Kmt5b	WLM	Male	Wildtype	Lithium	B5	Group1
K5B_WLM_4	Kmt5b	WLM	Male	Wildtype	Lithium	B5	Group1
K5B_WvF_1	Kmt5b	WvF	Female	Wildtype	Vehicle	B5	Group1
K5B_WvF_2	Kmt5b	WvF	Female	Wildtype	Vehicle	B5	Group1
K5B_WvF_3	Kmt5b	WvF	Female	Wildtype	Vehicle	B5	Group1
K5B_WvF_4	Kmt5b	WvF	Female	Wildtype	Vehicle	B5	Group1
K5B_WvF_5	Kmt5b	WvF	Female	Wildtype	Vehicle	B5	Group1
K5B_WvM_1	Kmt5b	WvM	Male	Wildtype	Vehicle	B5	Group1
K5B_WvM_2	Kmt5b	WvM	Male	Wildtype	Vehicle	B5	Group1
K5B_WvM_3	Kmt5b	WvM	Male	Wildtype	Vehicle	B5	Group1
K5B_WvM_4	Kmt5b	WvM	Male	Wildtype	Vehicle	B5	Group1
K5B_WvM_5	Kmt5b	WvM	Male	Wildtype	Vehicle	B5	Group1
L68P_HfF_1	Shank3-L	HfF	Female	Mutant	Fluoxetine	B6	Group2
L68P_HfF_2	Shank3-L	HfF	Female	Mutant	Fluoxetine	B6	Group2
L68P_HfF_3	Shank3-L	HfF	Female	Mutant	Fluoxetine	B6	Group2
L68P_HfF_4	Shank3-L	HfF	Female	Mutant	Fluoxetine	B6	Group2
L68P_HfF_5	Shank3-L	HfF	Female	Mutant	Fluoxetine	B6	Group2
L68P_HfM_1	Shank3-L	HfM	Male	Mutant	Fluoxetine	B6	Group1
L68P_HfM_2	Shank3-L	HfM	Male	Mutant	Fluoxetine	B6	Group1
L68P_HfM_3	Shank3-L	HfM	Male	Mutant	Fluoxetine	B6	Group1
L68P_HfM_4	Shank3-L	HfM	Male	Mutant	Fluoxetine	B6	Group1
L68P_HfM_5	Shank3-L	HfM	Male	Mutant	Fluoxetine	B6	Group1
L68P_HLF_1	Shank3-L	HLF	Female	Mutant	Lithium	B6	Group2
L68P_HLF_2	Shank3-L	HLF	Female	Mutant	Lithium	B6	Group2
L68P_HLF_3	Shank3-L	HLF	Female	Mutant	Lithium	B6	Group2
L68P_HLF_4	Shank3-L	HLF	Female	Mutant	Lithium	B6	Group2
L68P_HLF_5	Shank3-L	HLF	Female	Mutant	Lithium	B6	Group2
L68P_HLM_1	Shank3-L	HLM	Male	Mutant	Lithium	B6	Group1
L68P_HLM_2	Shank3-L	HLM	Male	Mutant	Lithium	B6	Group1
L68P_HLM_3	Shank3-L	HLM	Male	Mutant	Lithium	B6	Group1
L68P_HLM_4	Shank3-L	HLM	Male	Mutant	Lithium	B6	Group1
L68P_HLM_5	Shank3-L	HLM	Male	Mutant	Lithium	B6	Group1
L68P_HvF_1	Shank3-L	HvF	Female	Mutant	Vehicle	B6	Group2
L68P_HvF_2	Shank3-L	HvF	Female	Mutant	Vehicle	B6	Group2
L68P_HvF_3	Shank3-L	HvF	Female	Mutant	Vehicle	B6	Group2
L68P_HvF_4	Shank3-L	HvF	Female	Mutant	Vehicle	B6	Group2
L68P_HvF_5	Shank3-L	HvF	Female	Mutant	Vehicle	B6	Group2
L68P_HvM_1	Shank3-L	HvM	Male	Mutant	Vehicle	B6	Group1
L68P_HvM_2	Shank3-L	HvM	Male	Mutant	Vehicle	B6	Group1
L68P_HvM_3	Shank3-L	HvM	Male	Mutant	Vehicle	B6	Group1
L68P_HvM_4	Shank3-L	HvM	Male	Mutant	Vehicle	B6	Group1
L68P_HvM_5	Shank3-L	HvM	Male	Mutant	Vehicle	B6	Group1
L68P_WfF_1	Shank3-L	WfF	Female	Wildtype	Fluoxetine	B6	Group2
L68P_WfF_2	Shank3-L	WfF	Female	Wildtype	Fluoxetine	B6	Group2
L68P_WfF_3	Shank3-L	WfF	Female	Wildtype	Fluoxetine	B6	Group2
L68P_WfF_4	Shank3-L	WfF	Female	Wildtype	Fluoxetine	B6	Group2
L68P_WfF_5	Shank3-L	WfF	Female	Wildtype	Fluoxetine	B6	Group2
L68P_WfM_1	Shank3-L	WfM	Male	Wildtype	Fluoxetine	B6	Group1
L68P_WfM_2	Shank3-L	WfM	Male	Wildtype	Fluoxetine	B6	Group1
L68P_WfM_3	Shank3-L	WfM	Male	Wildtype	Fluoxetine	B6	Group1
L68P_WfM_4	Shank3-L	WfM	Male	Wildtype	Fluoxetine	B6	Group1
L68P_WfM_5	Shank3-L	WfM	Male	Wildtype	Fluoxetine	B6	Group1
L68P_WLF_1	Shank3-L	WLF	Female	Wildtype	Lithium	B6	Group2
L68P_WLF_2	Shank3-L	WLF	Female	Wildtype	Lithium	B6	Group2
L68P_WLF_3	Shank3-L	WLF	Female	Wildtype	Lithium	B6	Group2
L68P_WLF_4	Shank3-L	WLF	Female	Wildtype	Lithium	B6	Group2
L68P_WLM_1	Shank3-L	WLM	Male	Wildtype	Lithium	B6	Group1
L68P_WLM_2	Shank3-L	WLM	Male	Wildtype	Lithium	B6	Group1
L68P_WLM_3	Shank3-L	WLM	Male	Wildtype	Lithium	B6	Group1
L68P_WLM_4	Shank3-L	WLM	Male	Wildtype	Lithium	B6	Group1
L68P_WLM_5	Shank3-L	WLM	Male	Wildtype	Lithium	B6	Group1
L68P_WvF_1	Shank3-L	WvF	Female	Wildtype	Vehicle	B6	Group2
L68P_WvF_2	Shank3-L	WvF	Female	Wildtype	Vehicle	B6	Group2
L68P_WvF_3	Shank3-L	WvF	Female	Wildtype	Vehicle	B6	Group2
L68P_WvF_4	Shank3-L	WvF	Female	Wildtype	Vehicle	B6	Group2
L68P_WvF_5	Shank3-L	WvF	Female	Wildtype	Vehicle	B6	Group2
L68P_WvM_1	Shank3-L	WvM	Male	Wildtype	Vehicle	B6	Group1
L68P_WvM_2	Shank3-L	WvM	Male	Wildtype	Vehicle	B6	Group1
L68P_WvM_3	Shank3-L	WvM	Male	Wildtype	Vehicle	B6	Group1
L68P_WvM_4	Shank3-L	WvM	Male	Wildtype	Vehicle	B6	Group1
L68P_WvM_5	Shank3-L	WvM	Male	Wildtype	Vehicle	B6	Group1
Mt1_HfF_1	Myt1l	HfF	Female	Mutant	Fluoxetine	B4-1	Group2
Mt1_HfF_2	Myt1l	HfF	Female	Mutant	Fluoxetine	B4-1	Group2
Mt1_HfF_3	Myt1l	HfF	Female	Mutant	Fluoxetine	B4-1	Group2
Mt1_HfF_4	Myt1l	HfF	Female	Mutant	Fluoxetine	B4-1	Group2
Mt1_HfF_5	Myt1l	HfF	Female	Mutant	Fluoxetine	B4-1	Group2
Mt1_HfM_1	Myt1l	HfM	Male	Mutant	Fluoxetine	B4-1	Group2
Mt1_HfM_2	Myt1l	HfM	Male	Mutant	Fluoxetine	B4-1	Group2
Mt1_HfM_3	Myt1l	HfM	Male	Mutant	Fluoxetine	B4-1	Group2
Mt1_HfM_4	Myt1l	HfM	Male	Mutant	Fluoxetine	B4-1	Group2
Mt1_HfM_5	Myt1l	HfM	Male	Mutant	Fluoxetine	B4-1	Group2
Mt1_HLF_1	Myt1l	HLF	Female	Mutant	Lithium	B4-1	Group2
Mt1_HLF_2	Myt1l	HLF	Female	Mutant	Lithium	B4-1	Group2
Mt1_HLF_3	Myt1l	HLF	Female	Mutant	Lithium	B4-1	Group2
Mt1_HLF_4	Myt1l	HLF	Female	Mutant	Lithium	B4-1	Group2
Mt1_HLF_5	Myt1l	HLF	Female	Mutant	Lithium	B4-1	Group2
Mt1_HLM_1	Myt1l	HLM	Male	Mutant	Lithium	B4-1	Group2
Mt1_HLM_2	Myt1l	HLM	Male	Mutant	Lithium	B4-1	Group2
Mt1_HLM_3	Myt1l	HLM	Male	Mutant	Lithium	B4-1	Group2
Mt1_HLM_4	Myt1l	HLM	Male	Mutant	Lithium	B4-1	Group2
Mt1_HLM_5	Myt1l	HLM	Male	Mutant	Lithium	B4-1	Group2
Mt1_HvF_1	Myt1l	HvF	Female	Mutant	Vehicle	B4-1	Group2
Mt1_HvF_2	Myt1l	HvF	Female	Mutant	Vehicle	B4-1	Group2
Mt1_HvF_3	Myt1l	HvF	Female	Mutant	Vehicle	B4-1	Group2
Mt1_HvF_4	Myt1l	HvF	Female	Mutant	Vehicle	B4-1	Group2
Mt1_HvF_5	Myt1l	HvF	Female	Mutant	Vehicle	B4-1	Group2
Mt1_HvM_1	Myt1l	HvM	Male	Mutant	Vehicle	B4-1	Group2
Mt1_HvM_2	Myt1l	HvM	Male	Mutant	Vehicle	B4-1	Group2
Mt1_HvM_3	Myt1l	HvM	Male	Mutant	Vehicle	B4-1	Group2
Mt1_HvM_4	Myt1l	HvM	Male	Mutant	Vehicle	B4-1	Group2
Mt1_HvM_5	Myt1l	HvM	Male	Mutant	Vehicle	B4-1	Group2
Mt1_WfF_1	Myt1l	WfF	Female	Wildtype	Fluoxetine	B4-1	Group2
Mt1_WfF_2	Myt1l	WfF	Female	Wildtype	Fluoxetine	B4-1	Group2
Mt1_WfF_3	Myt1l	WfF	Female	Wildtype	Fluoxetine	B4-1	Group2
Mt1_WfF_4	Myt1l	WfF	Female	Wildtype	Fluoxetine	B4-1	Group2
Mt1_WfM_1	Myt1l	WfM	Male	Wildtype	Fluoxetine	B4-1	Group2
Mt1_WfM_2	Myt1l	WfM	Male	Wildtype	Fluoxetine	B4-1	Group2
Mt1_WfM_3	Myt1l	WfM	Male	Wildtype	Fluoxetine	B4-1	Group2
Mt1_WfM_4	Myt1l	WfM	Male	Wildtype	Fluoxetine	B4-1	Group2
Mt1_WfM_5	Myt1l	WfM	Male	Wildtype	Fluoxetine	B4-1	Group2
Mt1_WLF_1	Myt1l	WLF	Female	Wildtype	Lithium	B4-1	Group2
Mt1_WLF_2	Myt1l	WLF	Female	Wildtype	Lithium	B4-1	Group2
Mt1_WLF_3	Myt1l	WLF	Female	Wildtype	Lithium	B4-1	Group2
Mt1_WLF_4	Myt1l	WLF	Female	Wildtype	Lithium	B4-1	Group2
Mt1_WLF_5	Myt1l	WLF	Female	Wildtype	Lithium	B4-1	Group2
Mt1_WLM_1	Myt1l	WLM	Male	Wildtype	Lithium	B4-1	Group2
Mt1_WLM_2	Myt1l	WLM	Male	Wildtype	Lithium	B4-1	Group2
Mt1_WLM_3	Myt1l	WLM	Male	Wildtype	Lithium	B4-1	Group2
Mt1_WLM_4	Myt1l	WLM	Male	Wildtype	Lithium	B4-1	Group2
Mt1_WLM_5	Myt1l	WLM	Male	Wildtype	Lithium	B4-1	Group2
Mt1_WvF_1	Myt1l	WvF	Female	Wildtype	Vehicle	B4-1	Group2
Mt1_WvF_2	Myt1l	WvF	Female	Wildtype	Vehicle	B4-1	Group2
Mt1_WvF_3	Myt1l	WvF	Female	Wildtype	Vehicle	B4-1	Group2
Mt1_WvF_4	Myt1l	WvF	Female	Wildtype	Vehicle	B4-1	Group2
Mt1_WvF_5	Myt1l	WvF	Female	Wildtype	Vehicle	B4-1	Group2
Mt1_WvM_1	Myt1l	WvM	Male	Wildtype	Vehicle	B4-1	Group2
Mt1_WvM_2	Myt1l	WvM	Male	Wildtype	Vehicle	B4-1	Group2
Mt1_WvM_3	Myt1l	WvM	Male	Wildtype	Vehicle	B4-1	Group2
Mt1_WvM_4	Myt1l	WvM	Male	Wildtype	Vehicle	B4-1	Group2
Mt1_WvM_5	Myt1l	WvM	Male	Wildtype	Vehicle	B4-1	Group2
Na_HfF_1	Naa15	HfF	Female	Mutant	Fluoxetine	B3	Group2
Na_HfF_2	Naa15	HfF	Female	Mutant	Fluoxetine	B3	Group2
Na_HfF_3	Naa15	HfF	Female	Mutant	Fluoxetine	B3	Group2
Na_HfF_4	Naa15	HfF	Female	Mutant	Fluoxetine	B3	Group2
Na_HfF_5	Naa15	HfF	Female	Mutant	Fluoxetine	B3	Group2
Na_HfM_1	Naa15	HfM	Male	Mutant	Fluoxetine	B3	Group1
Na_HfM_2	Naa15	HfM	Male	Mutant	Fluoxetine	B3	Group1
Na_HfM_3	Naa15	HfM	Male	Mutant	Fluoxetine	B3	Group1
Na_HfM_4	Naa15	HfM	Male	Mutant	Fluoxetine	B3	Group1
Na_HfM_5	Naa15	HfM	Male	Mutant	Fluoxetine	B3	Group1
Na_HLF_1	Naa15	HLF	Female	Mutant	Lithium	B3	Group2
Na_HLF_2	Naa15	HLF	Female	Mutant	Lithium	B3	Group2
Na_HLF_3	Naa15	HLF	Female	Mutant	Lithium	B3	Group2
Na_HLF_4	Naa15	HLF	Female	Mutant	Lithium	B3	Group2
Na_HLF_5	Naa15	HLF	Female	Mutant	Lithium	B3	Group2
Na_HLM_1	Naa15	HLM	Male	Mutant	Lithium	B3	Group1
Na_HLM_2	Naa15	HLM	Male	Mutant	Lithium	B3	Group1
Na_HLM_3	Naa15	HLM	Male	Mutant	Lithium	B3	Group1
Na_HLM_4	Naa15	HLM	Male	Mutant	Lithium	B3	Group1
Na_HLM_5	Naa15	HLM	Male	Mutant	Lithium	B3	Group1
Na_HvF_1	Naa15	HvF	Female	Mutant	Vehicle	B3	Group2
Na_HvF_2	Naa15	HvF	Female	Mutant	Vehicle	B3	Group2
Na_HvF_3	Naa15	HvF	Female	Mutant	Vehicle	B3	Group2
Na_HvF_4	Naa15	HvF	Female	Mutant	Vehicle	B3	Group2
Na_HvF_5	Naa15	HvF	Female	Mutant	Vehicle	B3	Group2
Na_HvM_1	Naa15	HvM	Male	Mutant	Vehicle	B3	Group1
Na_HvM_2	Naa15	HvM	Male	Mutant	Vehicle	B3	Group1
Na_HvM_4	Naa15	HvM	Male	Mutant	Vehicle	B3	Group1
Na_HvM_5	Naa15	HvM	Male	Mutant	Vehicle	B3	Group1
Na_WfF_1	Naa15	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Na_WfF_2	Naa15	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Na_WfF_3	Naa15	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Na_WfF_4	Naa15	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Na_WfF_5	Naa15	WfF	Female	Wildtype	Fluoxetine	B3	Group2
Na_WfM_1	Naa15	WfM	Male	Wildtype	Fluoxetine	B3	Group1
Na_WfM_2	Naa15	WfM	Male	Wildtype	Fluoxetine	B3	Group1
Na_WfM_3	Naa15	WfM	Male	Wildtype	Fluoxetine	B3	Group1
Na_WfM_4	Naa15	WfM	Male	Wildtype	Fluoxetine	B3	Group1
Na_WfM_5	Naa15	WfM	Male	Wildtype	Fluoxetine	B3	Group1
Na_WLF_1	Naa15	WLF	Female	Wildtype	Lithium	B3	Group2
Na_WLF_2	Naa15	WLF	Female	Wildtype	Lithium	B3	Group2
Na_WLF_3	Naa15	WLF	Female	Wildtype	Lithium	B3	Group2
Na_WLF_4	Naa15	WLF	Female	Wildtype	Lithium	B3	Group2
Na_WLF_5	Naa15	WLF	Female	Wildtype	Lithium	B3	Group2
Na_WLM_1	Naa15	WLM	Male	Wildtype	Lithium	B3	Group1
Na_WLM_2	Naa15	WLM	Male	Wildtype	Lithium	B3	Group1
Na_WLM_3	Naa15	WLM	Male	Wildtype	Lithium	B3	Group1
Na_WLM_4	Naa15	WLM	Male	Wildtype	Lithium	B3	Group1
Na_WLM_5	Naa15	WLM	Male	Wildtype	Lithium	B3	Group1
Na_WvF_1	Naa15	WvF	Female	Wildtype	Vehicle	B3	Group2
Na_WvF_2	Naa15	WvF	Female	Wildtype	Vehicle	B3	Group2
Na_WvF_3	Naa15	WvF	Female	Wildtype	Vehicle	B3	Group2
Na_WvF_4	Naa15	WvF	Female	Wildtype	Vehicle	B3	Group2
Na_WvF_5	Naa15	WvF	Female	Wildtype	Vehicle	B3	Group2
Na_WvM_1	Naa15	WvM	Male	Wildtype	Vehicle	B3	Group1
Na_WvM_2	Naa15	WvM	Male	Wildtype	Vehicle	B3	Group1
Na_WvM_3	Naa15	WvM	Male	Wildtype	Vehicle	B3	Group1
Na_WvM_4	Naa15	WvM	Male	Wildtype	Vehicle	B3	Group1
Na_WvM_5	Naa15	WvM	Male	Wildtype	Vehicle	B3	Group1
P131_HfF_1	Pten	HfF	Female	Mutant	Fluoxetine	B5	Group1
P131_HfF_2	Pten	HfF	Female	Mutant	Fluoxetine	B5	Group1
P131_HfF_3	Pten	HfF	Female	Mutant	Fluoxetine	B5	Group1
P131_HfF_4	Pten	HfF	Female	Mutant	Fluoxetine	B5	Group1
P131_HfF_5	Pten	HfF	Female	Mutant	Fluoxetine	B5	Group1
P131_HfM_1	Pten	HfM	Male	Mutant	Fluoxetine	B5	Group1
P131_HfM_2	Pten	HfM	Male	Mutant	Fluoxetine	B5	Group1
P131_HfM_3	Pten	HfM	Male	Mutant	Fluoxetine	B5	Group1
P131_HfM_4	Pten	HfM	Male	Mutant	Fluoxetine	B5	Group1
P131_HfM_5	Pten	HfM	Male	Mutant	Fluoxetine	B5	Group1
P131_HLF_1	Pten	HLF	Female	Mutant	Lithium	B5	Group1
P131_HLF_2	Pten	HLF	Female	Mutant	Lithium	B5	Group1
P131_HLF_3	Pten	HLF	Female	Mutant	Lithium	B5	Group1
P131_HLF_4	Pten	HLF	Female	Mutant	Lithium	B5	Group1
P131_HLF_5	Pten	HLF	Female	Mutant	Lithium	B5	Group1
P131_HLM_1	Pten	HLM	Male	Mutant	Lithium	B5	Group1
P131_HLM_2	Pten	HLM	Male	Mutant	Lithium	B5	Group1
P131_HLM_3	Pten	HLM	Male	Mutant	Lithium	B5	Group1
P131_HLM_4	Pten	HLM	Male	Mutant	Lithium	B5	Group1
P131_HLM_5	Pten	HLM	Male	Mutant	Lithium	B5	Group1
P131_HvF_1	Pten	HvF	Female	Mutant	Vehicle	B5	Group1
P131_HvF_2	Pten	HvF	Female	Mutant	Vehicle	B5	Group1
P131_HvF_3	Pten	HvF	Female	Mutant	Vehicle	B5	Group1
P131_HvF_4	Pten	HvF	Female	Mutant	Vehicle	B5	Group1
P131_HvF_5	Pten	HvF	Female	Mutant	Vehicle	B5	Group1
P131_HvM_1	Pten	HvM	Male	Mutant	Vehicle	B5	Group1
P131_HvM_2	Pten	HvM	Male	Mutant	Vehicle	B5	Group1
P131_HvM_3	Pten	HvM	Male	Mutant	Vehicle	B5	Group1
P131_HvM_4	Pten	HvM	Male	Mutant	Vehicle	B5	Group1
P131_HvM_5	Pten	HvM	Male	Mutant	Vehicle	B5	Group1
P131_WfF_1	Pten	WfF	Female	Wildtype	Fluoxetine	B5	Group1
P131_WfF_2	Pten	WfF	Female	Wildtype	Fluoxetine	B5	Group1
P131_WfF_3	Pten	WfF	Female	Wildtype	Fluoxetine	B5	Group1
P131_WfF_4	Pten	WfF	Female	Wildtype	Fluoxetine	B5	Group1
P131_WfF_5	Pten	WfF	Female	Wildtype	Fluoxetine	B5	Group1
P131_WfM_1	Pten	WfM	Male	Wildtype	Fluoxetine	B5	Group1
P131_WfM_2	Pten	WfM	Male	Wildtype	Fluoxetine	B5	Group1
P131_WfM_3	Pten	WfM	Male	Wildtype	Fluoxetine	B5	Group1
P131_WfM_4	Pten	WfM	Male	Wildtype	Fluoxetine	B5	Group1
P131_WfM_5	Pten	WfM	Male	Wildtype	Fluoxetine	B5	Group1
P131_WLF_1	Pten	WLF	Female	Wildtype	Lithium	B5	Group1
P131_WLF_2	Pten	WLF	Female	Wildtype	Lithium	B5	Group1
P131_WLF_3	Pten	WLF	Female	Wildtype	Lithium	B5	Group1
P131_WLF_4	Pten	WLF	Female	Wildtype	Lithium	B5	Group1
P131_WLF_5	Pten	WLF	Female	Wildtype	Lithium	B5	Group1
P131_WLM_1	Pten	WLM	Male	Wildtype	Lithium	B5	Group1
P131_WLM_2	Pten	WLM	Male	Wildtype	Lithium	B5	Group1
P131_WLM_3	Pten	WLM	Male	Wildtype	Lithium	B5	Group1
P131_WLM_4	Pten	WLM	Male	Wildtype	Lithium	B5	Group1
P131_WLM_5	Pten	WLM	Male	Wildtype	Lithium	B5	Group1
P131_WvF_1	Pten	WvF	Female	Wildtype	Vehicle	B5	Group1
P131_WvF_2	Pten	WvF	Female	Wildtype	Vehicle	B5	Group1
P131_WvF_3	Pten	WvF	Female	Wildtype	Vehicle	B5	Group1
P131_WvF_4	Pten	WvF	Female	Wildtype	Vehicle	B5	Group1
P131_WvF_5	Pten	WvF	Female	Wildtype	Vehicle	B5	Group1
P131_WvM_1	Pten	WvM	Male	Wildtype	Vehicle	B5	Group1
P131_WvM_2	Pten	WvM	Male	Wildtype	Vehicle	B5	Group1
